"id","name","longitude","latitude","lg_name","admin0_name","admin0_grid_id","admin1_grid_id","admin2_grid_id","admin3_grid_id","admin4_grid_id","admin5_grid_id","population","JPScale","LeastReached","PrimaryLanguageName","PrimaryReligion","PercentAdherents","PercentEvangelical","PeopleCluster","AffinityBloc","pg_unique_key"
104,"Berber, Menasser",-0.590039,32.948,"Ain Safra","Algeria",100385185,100385216,100386171,NULL,NULL,NULL,82000,1,"Y","Tamazight, Central Atlas","Islam",0.000,0.000,"Berber-Shilha","Arab World","AG_13669_106536"
105,"Berber, Mozabite",3.84135,32.4727,"El Atteuf","Algeria",100385185,100385205,100385825,NULL,NULL,NULL,188000,1,"Y","Tumzabt","Islam",0.000,0.000,"Berber-Saharan","Arab World","AG_13842_106837"
106,"Berber, Rif",-0.34831,35.8391,"Arzew","Algeria",100385185,100385217,100386185,NULL,NULL,NULL,3200,1,"Y","Tarifit","Islam",0.019,0.005,"Berber-Riff","Arab World","AG_10803_101275"
107,"Berber, Shawiya",6.93694,35.276,"Tamza","Algeria",100385185,100385209,100385921,NULL,NULL,NULL,2339000,1,"Y","Tachawit","Islam",0.000,0.000,"Berber-Shawiya","Arab World","AG_14899_108925"
108,"Berber, Southern Shilha",-7.3006,29.2942,"Akka Ighane","Morocco",100241761,100241773,100241793,100241967,100242649,NULL,6500,1,"Y","Tachelhit","Islam",0.090,0.000,"Berber-Shilha","Arab World","AG_14911_108945"
109,"Berber, Taznatit",0.10051,29.1496,"Deldoul","Algeria",100385185,100385186,100385241,NULL,NULL,NULL,12000,1,"Y","Taznatit","Islam",0.009,0.009,"Berber-Saharan","Arab World","AG_15609_110235"
110,"Berber, Tidikelt Tamzight",1.79388,26.9117,"In Ghar","Algeria",100385185,100385226,100386491,NULL,NULL,NULL,1100,1,"Y","Arabic, Algerian Spoken","Islam",0.029,0.010,"Berber-Saharan","Arab World","AG_15473_110042"
111,"Berber, Tougourt",6.0497,33.3144,"Sidi Slimane","Algeria",100385185,100385218,100386223,NULL,NULL,NULL,9600,1,"Y","Tamazight, Temacine","Islam",0.050,0.040,"Berber-Saharan","Arab World","AG_15572_110182"
112,"British",3.04768,36.7406,"Kouba","Algeria",100385185,100385189,100385339,NULL,NULL,NULL,800,4,"N","English","Christianity",71.000,8.000,"Anglo-Celt","Eurasian Peoples","AG_11140_102927"
113,"Chenoua",2.19664,36.6073,"Cherchel","Algeria",100385185,100385230,100386577,NULL,NULL,NULL,98000,1,"Y","Chenoua","Islam",0.000,0.000,"Berber-Kabyle","Arab World","AG_11321_102070"
114,"Chinese, general",3.21938,36.6854,"Dar El Beida","Algeria",100385185,100385189,100385332,NULL,NULL,NULL,36000,1,"Y","Chinese, Mandarin","Non-Religious",1.000,0.800,"Chinese","East Asian Peoples","AG_19206_115066"
115,"Deaf",3.5462,36.4762,"Zbarbar|El Isseri","Algeria",100385185,100385197,100385630,NULL,NULL,NULL,219000,1,"Y","Algerian Sign Language","Islam",0.280,0,"Deaf","Deaf","AG_19007_114916"
116,"French",2.49053,31.6094,"El Meniaa","Algeria",100385185,100385205,100385827,NULL,NULL,NULL,13000,3,"N","French","Christianity",66.000,0.400,"French","Eurasian Peoples","AG_11234_103059"
117,"Hausa",8.4774,26.5006,"Illizi","Algeria",100385185,100385207,100385873,NULL,NULL,NULL,12000,1,"Y","Hausa","Islam",0.000,0.000,"Hausa","Sub-Saharan Peoples","AG_12070_103733"
118,"Idaksahak",-3.2866,29.4126,"Tabelbala","Algeria",100385185,100385192,100385442,NULL,NULL,NULL,2500,1,"Y","Tadaksahak","Islam",0.000,0.000,"Songhai","Sub-Saharan Peoples","AG_12178_103948"
119,"Jew, French-speaking",2.49053,31.6094,"El Meniaa","Algeria",100385185,100385205,100385827,NULL,NULL,NULL,700,1,"Y","French","Ethnic Religions",0.000,0.000,"Jews","Jews","AG_11764_103063"
120,"Moroccan, Arabic-speaking",-0.625895,35.6728,"Oran","Algeria",100385185,100385217,100386203,NULL,NULL,NULL,181000,1,"Y","Arabic, Moroccan Spoken","Islam",0.150,0.150,"Arab, Maghreb","Arab World","AG_13819_106804"
121,"Ouargla",5.27286,31.9488,"Sidi Khouiled","Algeria",100385185,100385218,100386222,NULL,NULL,NULL,22000,1,"Y","Tagargrent","Islam",0.050,0.020,"Berber-Saharan","Arab World","AG_18364_113933"
